003.222.085.038 - 003.222.085.038 , 100 , CPBL
003.222.190.107 - 003.222.190.107 , 100 , CPBL
003.223.134.005 - 003.223.134.005 , 100 , CPBL
003.223.181.032 - 003.223.181.032 , 100 , CPBL
003.224.104.067 - 003.224.104.067 , 100 , CPBL
003.224.205.025 - 003.224.205.025 , 100 , CPBL
003.224.215.150 - 003.224.215.150 , 100 , CPBL
003.225.009.097 - 003.225.009.097 , 100 , CPBL
003.225.010.085 - 003.225.010.085 , 100 , CPBL
003.225.045.252 - 003.225.045.252 , 100 , CPBL
003.226.034.098 - 003.226.034.098 , 100 , CPBL
003.226.106.093 - 003.226.106.093 , 100 , CPBL
003.227.180.070 - 003.227.180.070 , 100 , CPBL
003.227.192.235 - 003.227.192.235 , 100 , CPBL
003.227.248.201 - 003.227.248.201 , 100 , CPBL
003.229.002.217 - 003.229.002.217 , 100 , CPBL
003.229.095.193 - 003.229.095.193 , 100 , CPBL
003.229.164.203 - 003.229.164.203 , 100 , CPBL
003.230.069.161 - 003.230.069.161 , 100 , CPBL
003.230.224.006 - 003.230.224.006 , 100 , CPBL
003.231.193.038 - 003.231.193.038 , 100 , CPBL
003.232.039.098 - 003.232.039.098 , 100 , CPBL
003.232.082.072 - 003.232.082.072 , 100 , CPBL
003.232.102.111 - 003.232.102.111 , 100 , CPBL
003.234.103.005 - 003.234.103.005 , 100 , CPBL
003.234.254.133 - 003.234.254.133 , 100 , CPBL
